,time,targetX,endEffectorX,targetY,endEffectorY,targetZ,endEffectorZ
0,20.906,-2.7423057747811854,-0.0,0.813851706799994,-0.141,6.050197448790118,8.998
1,21.03,-2.7444055919726997,-0.0,0.7558587328492876,-0.141,6.0444555444487245,8.998
2,21.139,-2.7495455672116376,-0.0,0.6470589164955322,-0.141,6.044455544448724,8.998
3,21.241,-2.7546855424505754,-0.0,0.6470589164955322,-0.141,6.0444555444487245,8.998
4,21.339,-2.768043098178102,-0.0,0.5904648498183472,-0.141,6.029755437174707,8.998
5,21.465,-2.784524027958,-0.0,0.48919761109124493,-0.141,6.033844116884472,8.998
6,21.588,-2.792468382563677,-0.0,0.42799213713530393,-0.141,6.0378329373883,8.998
7,21.684,-2.7984280354513507,-0.0,0.39657840138150224,-0.141,6.035229663366852,8.998
8,21.775,-2.8069049724886925,-0.271,0.35860056226733134,-0.141,6.0267527263295095,8.993
9,21.879,-2.8269419995466905,-1.6,0.31949677339642374,0.282,6.025167461435256,8.789
10,21.979,-2.848927668053881,-1.51,0.2475173513020121,0.285,6.016895790543451,8.807
11,22.088,-2.884967132863327,-1.312,0.1635973501440261,0.214,6.007130392362836,8.86
12,22.188,-2.9320493615293377,-1.712,0.09452335084846636,0.214,5.995036332977098,8.759
13,22.279,-2.955069682364712,-1.693,-0.10750326814902833,0.071,5.989851975868855,8.768
14,22.395,-2.971999978571327,-1.313,-0.12594364808103697,0.071,5.984675940361105,8.863
15,22.499,-2.976780738055575,-1.313,-0.1739684234860887,0.071,5.981122616949838,8.863
16,22.597,-2.977919410389943,-0.384,-0.2858455733824402,0.632,5.978689935738532,8.874
17,22.701999999999998,-3.0143610858899703,1.677,-0.3127030182791445,-0.618,5.97741118312917,7.946
18,22.793,-3.022227772224362,2.552,-0.3567961556058943,-0.679,5.976284993195542,6.502
19,22.883,-3.0533880052770397,2.568,-0.41136010075199364,-2.441,5.97177329879396,5.649
20,22.969,-3.055880324625224,3.133,-0.46772714026377604,-1.594,5.970892596074929,5.755
